Taestivum_TRIAE_CS42_7AS_TGACv1_569068_AA1806240.1	91d974aff968e16f456a911c3683df32	881	Pfam	PF00931	NB-ARC domain	539	813	1.8E-51	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_7AS_TGACv1_569068_AA1806240.1	91d974aff968e16f456a911c3683df32	881	ProSiteProfiles	PS51294	Myb-type HTH DNA-binding domain profile.	64	118	24.938	T	31-05-2017	IPR017930	Myb domain
Taestivum_TRIAE_CS42_7AS_TGACv1_569068_AA1806240.1	91d974aff968e16f456a911c3683df32	881	Pfam	PF00249	Myb-like DNA-binding domain	69	113	4.9E-14	T	31-05-2017	IPR001005	SANT/Myb domain
Taestivum_TRIAE_CS42_7AS_TGACv1_569068_AA1806240.1	91d974aff968e16f456a911c3683df32	881	Pfam	PF00249	Myb-like DNA-binding domain	15	63	1.4E-15	T	31-05-2017	IPR001005	SANT/Myb domain
Taestivum_TRIAE_CS42_7AS_TGACv1_569068_AA1806240.1	91d974aff968e16f456a911c3683df32	881	ProSiteProfiles	PS51294	Myb-type HTH DNA-binding domain profile.	10	63	12.02	T	31-05-2017	IPR017930	Myb domain
Taestivum_TRIAE_CS42_5BL_TGACv1_404628_AA1306700.2	8ea53a60aca3940f9acf28e28d7f398f	1455	Pfam	PF00931	NB-ARC domain	330	609	1.2E-52	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_5BL_TGACv1_404628_AA1306700.2	8ea53a60aca3940f9acf28e28d7f398f	1455	ProSiteProfiles	PS50985	GRAS family profile.	1057	1436	63.677	T	31-05-2017	IPR005202	Transcription factor GRAS
Taestivum_TRIAE_CS42_5BL_TGACv1_404628_AA1306700.2	8ea53a60aca3940f9acf28e28d7f398f	1455	SUPERFAMILY	SSF52058		648	1023	1.04E-19	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_5BL_TGACv1_404628_AA1306700.2	8ea53a60aca3940f9acf28e28d7f398f	1455	Pfam	PF03514	GRAS domain family	1083	1454	5.7E-123	T	31-05-2017	IPR005202	Transcription factor GRAS
Taestivum_TRIAE_CS42_5BL_TGACv1_404628_AA1306700.2	8ea53a60aca3940f9acf28e28d7f398f	1455	SUPERFAMILY	SSF52540		327	583	3.04E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	SUPERFAMILY	SSF52540		2001	2054	4.51E-6	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	Pfam	PF00069	Protein kinase domain	39	277	1.4E-43	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	ProSiteProfiles	PS50088	Ankyrin repeat profile.	1798	1830	8.71	T	31-05-2017	IPR002110	Ankyrin repeat
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	SUPERFAMILY	SSF52540		501	765	8.3E-51	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	ProSiteProfiles	PS51437	CG-1 DNA-binding domain profile.	1337	1463	76.859	T	31-05-2017	IPR005559	CG-1 DNA-binding domain
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	SUPERFAMILY	SSF48403		1789	1893	2.95E-17	T	31-05-2017	IPR020683	Ankyrin repeat-containing domain
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	Coils	Coil		246	266	-	T	31-05-2017
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	Pfam	PF00931	NB-ARC domain	512	791	3.2E-51	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	ProSiteProfiles	PS50088	Ankyrin repeat profile.	1831	1863	8.736	T	31-05-2017	IPR002110	Ankyrin repeat
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	Pfam	PF00612	IQ calmodulin-binding motif	2030	2049	0.017	T	31-05-2017	IPR000048	IQ motif, EF-hand binding site
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	Pfam	PF00612	IQ calmodulin-binding motif	2006	2025	0.073	T	31-05-2017	IPR000048	IQ motif, EF-hand binding site
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	Pfam	PF01833	IPT/TIG domain	1594	1679	4.5E-7	T	31-05-2017	IPR002909	IPT domain
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	SUPERFAMILY	SSF52047		862	1214	3.37E-22	T	31-05-2017
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	1789	1892	18.643	T	31-05-2017	IPR020683	Ankyrin repeat-containing domain
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	SUPERFAMILY	SSF56112		23	298	5.41E-61	T	31-05-2017	IPR011009	Protein kinase-like domain
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	Pfam	PF03859	CG-1 domain	1343	1456	3.6E-46	T	31-05-2017	IPR005559	CG-1 DNA-binding domain
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	ProSiteProfiles	PS50011	Protein kinase domain profile.	37	307	32.824	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	SUPERFAMILY	SSF81296		1595	1680	1.18E-17	T	31-05-2017	IPR014756	Immunoglobulin E-set
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	ProSiteProfiles	PS50096	IQ motif profile.	2005	2034	8.206	T	31-05-2017	IPR000048	IQ motif, EF-hand binding site
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	ProSiteProfiles	PS50096	IQ motif profile.	2028	2052	8.151	T	31-05-2017	IPR000048	IQ motif, EF-hand binding site
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	43	65	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Taestivum_TRIAE_CS42_5BL_TGACv1_405166_AA1321440.1	6112a16b2564b895d4f43a9bd9f810fa	2171	Coils	Coil		2103	2123	-	T	31-05-2017
Sbicolor_Sobic.005G182800.1.p	4b2748fb1a81055e700af12c6280dd23	821	Pfam	PF00931	NB-ARC domain	176	445	4.0E-46	T	31-05-2017	IPR002182	NB-ARC
Sbicolor_Sobic.005G182800.1.p	4b2748fb1a81055e700af12c6280dd23	821	SUPERFAMILY	SSF52833		718	816	3.7E-19	T	31-05-2017	IPR012336	Thioredoxin-like fold
Sbicolor_Sobic.005G182800.1.p	4b2748fb1a81055e700af12c6280dd23	821	SUPERFAMILY	SSF52058		507	642	3.63E-8	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Sbicolor_Sobic.005G182800.1.p	4b2748fb1a81055e700af12c6280dd23	821	SUPERFAMILY	SSF52540		153	419	3.58E-44	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sbicolor_Sobic.005G182800.1.p	4b2748fb1a81055e700af12c6280dd23	821	Pfam	PF00462	Glutaredoxin	729	792	4.3E-7	T	31-05-2017	IPR002109	Glutaredoxin
Sbicolor_Sobic.005G182800.1.p	4b2748fb1a81055e700af12c6280dd23	821	ProSiteProfiles	PS51354	Glutaredoxin domain profile.	717	818	19.507	T	31-05-2017	IPR002109	Glutaredoxin
Taestivum_TRIAE_CS42_5BL_TGACv1_407372_AA1356330.1	975877fc46b06ce4545ca6e7c0f4dc1d	1482	SUPERFAMILY	SSF52540		391	574	1.25E-30	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_5BL_TGACv1_407372_AA1356330.1	975877fc46b06ce4545ca6e7c0f4dc1d	1482	Pfam	PF00481	Protein phosphatase 2C	1174	1417	3.9E-38	T	31-05-2017	IPR001932	PPM-type phosphatase domain
Taestivum_TRIAE_CS42_5BL_TGACv1_407372_AA1356330.1	975877fc46b06ce4545ca6e7c0f4dc1d	1482	ProSiteProfiles	PS51746	PPM-type phosphatase domain profile.	1151	1452	40.409	T	31-05-2017	IPR001932	PPM-type phosphatase domain
Taestivum_TRIAE_CS42_5BL_TGACv1_407372_AA1356330.1	975877fc46b06ce4545ca6e7c0f4dc1d	1482	Pfam	PF00931	NB-ARC domain	395	600	2.8E-35	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_5BL_TGACv1_407372_AA1356330.1	975877fc46b06ce4545ca6e7c0f4dc1d	1482	ProSitePatterns	PS01032	PPM-type phosphatase domain signature.	1178	1186	-	T	31-05-2017	IPR000222	PPM-type phosphatase, divalent cation binding
Taestivum_TRIAE_CS42_5BL_TGACv1_407372_AA1356330.1	975877fc46b06ce4545ca6e7c0f4dc1d	1482	SUPERFAMILY	SSF81606		1155	1453	3.66E-54	T	31-05-2017	IPR001932	PPM-type phosphatase domain
Taestivum_TRIAE_CS42_5BL_TGACv1_407372_AA1356330.1	975877fc46b06ce4545ca6e7c0f4dc1d	1482	SUPERFAMILY	SSF52058		634	972	7.48E-16	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_1BS_TGACv1_049387_AA0151720.1	236b09f21d6ded2225e3c7865ed6ffb8	1137	Pfam	PF00931	NB-ARC domain	400	452	3.4E-7	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_1BS_TGACv1_049387_AA0151720.1	236b09f21d6ded2225e3c7865ed6ffb8	1137	Pfam	PF00931	NB-ARC domain	227	385	3.0E-20	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_1BS_TGACv1_049387_AA0151720.1	236b09f21d6ded2225e3c7865ed6ffb8	1137	SUPERFAMILY	SSF52058		489	871	3.03E-17	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_1BS_TGACv1_049387_AA0151720.1	236b09f21d6ded2225e3c7865ed6ffb8	1137	Coils	Coil		51	71	-	T	31-05-2017
Taestivum_TRIAE_CS42_1BS_TGACv1_049387_AA0151720.1	236b09f21d6ded2225e3c7865ed6ffb8	1137	SUPERFAMILY	SSF52540		218	424	1.35E-30	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sbicolor_Sobic.008G174100.1.p	7f4dd734b6fd58b3802680d05c65b92b	1163	SUPERFAMILY	SSF52540		184	454	1.13E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sbicolor_Sobic.008G174100.1.p	7f4dd734b6fd58b3802680d05c65b92b	1163	ProSiteProfiles	PS50811	WRKY domain profile.	1024	1086	14.022	T	31-05-2017	IPR003657	WRKY domain
Sbicolor_Sobic.008G174100.1.p	7f4dd734b6fd58b3802680d05c65b92b	1163	SUPERFAMILY	SSF52058		551	920	2.55E-20	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Sbicolor_Sobic.008G174100.1.p	7f4dd734b6fd58b3802680d05c65b92b	1163	Pfam	PF00931	NB-ARC domain	216	481	1.3E-48	T	31-05-2017	IPR002182	NB-ARC
Sbicolor_Sobic.008G174100.1.p	7f4dd734b6fd58b3802680d05c65b92b	1163	SUPERFAMILY	SSF118290		1016	1084	8.11E-16	T	31-05-2017	IPR003657	WRKY domain
Sbicolor_Sobic.008G174100.1.p	7f4dd734b6fd58b3802680d05c65b92b	1163	Pfam	PF03106	WRKY DNA -binding domain	1024	1084	5.7E-17	T	31-05-2017	IPR003657	WRKY domain
Osativa_LOC_Os05g40150.1	ce074614e5ebf29c1607f143061e595d	1132	SUPERFAMILY	SSF52058		501	875	2.35E-26	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Osativa_LOC_Os05g40150.1	ce074614e5ebf29c1607f143061e595d	1132	Pfam	PF00931	NB-ARC domain	183	464	1.9E-57	T	31-05-2017	IPR002182	NB-ARC
Osativa_LOC_Os05g40150.1	ce074614e5ebf29c1607f143061e595d	1132	SUPERFAMILY	SSF52540		177	436	2.23E-57	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_7DS_TGACv1_622556_AA2041730.1	a8addca590700b53f36375d3cac86d08	1014	SUPERFAMILY	SSF52540		247	510	1.55E-49	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_7DS_TGACv1_622556_AA2041730.1	a8addca590700b53f36375d3cac86d08	1014	SUPERFAMILY	SSF52058		559	955	1.65E-10	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_7DS_TGACv1_622556_AA2041730.1	a8addca590700b53f36375d3cac86d08	1014	Pfam	PF00931	NB-ARC domain	269	536	1.2E-48	T	31-05-2017	IPR002182	NB-ARC
Turartu_TRIUR3_35033-P1	59561f4ac23408196d7d9a9561d05696	490	SUPERFAMILY	SSF52540		166	442	2.97E-41	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Turartu_TRIUR3_35033-P1	59561f4ac23408196d7d9a9561d05696	490	Pfam	PF00931	NB-ARC domain	181	470	6.4E-40	T	31-05-2017	IPR002182	NB-ARC
Turartu_TRIUR3_02945-P1	f5145df6279de65750286889ad811ab5	839	SUPERFAMILY	SSF52540		95	366	6.74E-53	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Turartu_TRIUR3_02945-P1	f5145df6279de65750286889ad811ab5	839	SUPERFAMILY	SSF52058		413	794	5.61E-25	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Turartu_TRIUR3_02945-P1	f5145df6279de65750286889ad811ab5	839	Pfam	PF00931	NB-ARC domain	123	391	1.0E-48	T	31-05-2017	IPR002182	NB-ARC
Sitalica_Si025948m	7b6da5493dd3c81ecb6a1db82a089be2	913	SUPERFAMILY	SSF52058		505	861	1.11E-25	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Sitalica_Si025948m	7b6da5493dd3c81ecb6a1db82a089be2	913	SUPERFAMILY	SSF52540		139	414	4.2E-47	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Sitalica_Si025948m	7b6da5493dd3c81ecb6a1db82a089be2	913	Coils	Coil		101	128	-	T	31-05-2017
Sitalica_Si025948m	7b6da5493dd3c81ecb6a1db82a089be2	913	Pfam	PF00931	NB-ARC domain	171	441	3.3E-49	T	31-05-2017	IPR002182	NB-ARC
Hvulgare_MLOC_61599.4	e53912fb2c659254192737efca695ae4	1367	Coils	Coil		125	145	-	T	31-05-2017
Hvulgare_MLOC_61599.4	e53912fb2c659254192737efca695ae4	1367	ProSiteProfiles	PS50011	Protein kinase domain profile.	1031	1367	36.372	T	31-05-2017	IPR000719	Protein kinase domain
Hvulgare_MLOC_61599.4	e53912fb2c659254192737efca695ae4	1367	Pfam	PF00931	NB-ARC domain	211	482	6.2E-46	T	31-05-2017	IPR002182	NB-ARC
Hvulgare_MLOC_61599.4	e53912fb2c659254192737efca695ae4	1367	SUPERFAMILY	SSF56112		1014	1323	8.09E-77	T	31-05-2017	IPR011009	Protein kinase-like domain
Hvulgare_MLOC_61599.4	e53912fb2c659254192737efca695ae4	1367	SUPERFAMILY	SSF52540		190	458	7.36E-49	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Hvulgare_MLOC_61599.4	e53912fb2c659254192737efca695ae4	1367	SUPERFAMILY	SSF52058		543	860	3.4E-18	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Hvulgare_MLOC_61599.4	e53912fb2c659254192737efca695ae4	1367	Pfam	PF07714	Protein tyrosine kinase	1032	1231	2.3E-44	T	31-05-2017	IPR001245	Serine-threonine/tyrosine-protein kinase catalytic domain
Hvulgare_MLOC_61599.4	e53912fb2c659254192737efca695ae4	1367	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1153	1165	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	SUPERFAMILY	SSF52833		21	117	6.51E-10	T	31-05-2017	IPR012336	Thioredoxin-like fold
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	SUPERFAMILY	SSF52047		787	889	3.92E-6	T	31-05-2017
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	SUPERFAMILY	SSF52047		955	1059	3.92E-6	T	31-05-2017
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	SUPERFAMILY	SSF117281		1209	1466	1.03E-45	T	31-05-2017
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	ProSiteProfiles	PS51354	Glutaredoxin domain profile.	10	120	13.407	T	31-05-2017	IPR002109	Glutaredoxin
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	SUPERFAMILY	SSF52540		390	644	6.97E-53	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	Pfam	PF01344	Kelch motif	1285	1332	2.6E-14	T	31-05-2017	IPR006652	Kelch repeat type 1
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	Pfam	PF01344	Kelch motif	1338	1380	1.0E-4	T	31-05-2017	IPR006652	Kelch repeat type 1
Turartu_TRIUR3_09775-P1	6a151b6f389c8b880e733b333b16506f	1497	Pfam	PF00931	NB-ARC domain	398	671	2.0E-52	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	Pfam	PF00931	NB-ARC domain	522	806	2.8E-51	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	Pfam	PF11900	Domain of unknown function (DUF3420)	1505	1549	8.9E-13	T	31-05-2017	IPR024228	Regulatory protein NPR, central domain
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	SUPERFAMILY	SSF48403		1547	1649	6.91E-13	T	31-05-2017	IPR020683	Ankyrin repeat-containing domain
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	Pfam	PF12313	NPR1/NIM1 like defence protein C terminal	1648	1839	1.3E-69	T	31-05-2017	IPR021094	NPR1/NIM1-like, C-terminal
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	ProSiteProfiles	PS51294	Myb-type HTH DNA-binding domain profile.	10	67	26.315	T	31-05-2017	IPR017930	Myb domain
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	Pfam	PF00249	Myb-like DNA-binding domain	69	113	2.0E-12	T	31-05-2017	IPR001005	SANT/Myb domain
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	Pfam	PF00249	Myb-like DNA-binding domain	15	63	1.8E-17	T	31-05-2017	IPR001005	SANT/Myb domain
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	SUPERFAMILY	SSF54695		1347	1466	1.26E-5	T	31-05-2017	IPR011333	SKP1/BTB/POZ domain
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	SUPERFAMILY	SSF46689		12	110	7.11E-29	T	31-05-2017	IPR009057	Homeodomain-like
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	SUPERFAMILY	SSF52058		849	1237	1.6E-20	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	1572	1647	14.0	T	31-05-2017	IPR020683	Ankyrin repeat-containing domain
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	SUPERFAMILY	SSF52540		509	779	2.66E-53	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	ProSiteProfiles	PS51294	Myb-type HTH DNA-binding domain profile.	68	118	18.903	T	31-05-2017	IPR017930	Myb domain
Taestivum_TRIAE_CS42_7DS_TGACv1_622487_AA2040690.1	3f84e2d09a05c3b6f7e261ebf6d0d06f	1840	ProSiteProfiles	PS50097	BTB domain profile.	1354	1411	11.006	T	31-05-2017	IPR000210	BTB/POZ domain
Taestivum_TRIAE_CS42_5BL_TGACv1_406965_AA1351910.1	915e5cf2c502e70968386728a80079d4	1421	Pfam	PF00069	Protein kinase domain	1081	1353	3.5E-40	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_5BL_TGACv1_406965_AA1351910.1	915e5cf2c502e70968386728a80079d4	1421	Coils	Coil		694	714	-	T	31-05-2017
Taestivum_TRIAE_CS42_5BL_TGACv1_406965_AA1351910.1	915e5cf2c502e70968386728a80079d4	1421	SUPERFAMILY	SSF52058		538	841	1.43E-17	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_5BL_TGACv1_406965_AA1351910.1	915e5cf2c502e70968386728a80079d4	1421	SUPERFAMILY	SSF52540		177	452	1.72E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_5BL_TGACv1_406965_AA1351910.1	915e5cf2c502e70968386728a80079d4	1421	SUPERFAMILY	SSF56112		1054	1361	1.13E-75	T	31-05-2017	IPR011009	Protein kinase-like domain
Taestivum_TRIAE_CS42_5BL_TGACv1_406965_AA1351910.1	915e5cf2c502e70968386728a80079d4	1421	Pfam	PF00931	NB-ARC domain	205	478	2.9E-45	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_5BL_TGACv1_406965_AA1351910.1	915e5cf2c502e70968386728a80079d4	1421	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1083	1116	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Taestivum_TRIAE_CS42_5BL_TGACv1_406965_AA1351910.1	915e5cf2c502e70968386728a80079d4	1421	ProSiteProfiles	PS50011	Protein kinase domain profile.	1077	1360	36.018	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_3B_TGACv1_221435_AA0740740.1	ed74abb9aa4b97b241b5916d7709017e	1957	Pfam	PF00931	NB-ARC domain	164	476	5.4E-48	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_3B_TGACv1_221435_AA0740740.1	ed74abb9aa4b97b241b5916d7709017e	1957	SUPERFAMILY	SSF52540		163	450	1.53E-50	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_3B_TGACv1_221435_AA0740740.1	ed74abb9aa4b97b241b5916d7709017e	1957	Pfam	PF00161	Ribosome inactivating protein	817	1029	4.5E-44	T	31-05-2017	IPR001574	Ribosome-inactivating protein
Taestivum_TRIAE_CS42_3B_TGACv1_221435_AA0740740.1	ed74abb9aa4b97b241b5916d7709017e	1957	Pfam	PF00161	Ribosome inactivating protein	1394	1587	8.5E-48	T	31-05-2017	IPR001574	Ribosome-inactivating protein
Taestivum_TRIAE_CS42_3B_TGACv1_221435_AA0740740.1	ed74abb9aa4b97b241b5916d7709017e	1957	SUPERFAMILY	SSF56371		1390	1614	3.27E-41	T	31-05-2017	IPR001574	Ribosome-inactivating protein
Taestivum_TRIAE_CS42_3B_TGACv1_221435_AA0740740.1	ed74abb9aa4b97b241b5916d7709017e	1957	SUPERFAMILY	SSF56371		810	1069	1.26E-37	T	31-05-2017	IPR001574	Ribosome-inactivating protein
Taestivum_TRIAE_CS42_U_TGACv1_644387_AA2139180.1	dc985c1e24aa3f2f127c7785cd07c823	1456	Pfam	PF00069	Protein kinase domain	1177	1429	1.7E-63	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_U_TGACv1_644387_AA2139180.1	dc985c1e24aa3f2f127c7785cd07c823	1456	SUPERFAMILY	SSF52540		152	421	6.14E-52	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_U_TGACv1_644387_AA2139180.1	dc985c1e24aa3f2f127c7785cd07c823	1456	Pfam	PF00931	NB-ARC domain	170	447	1.3E-52	T	31-05-2017	IPR002182	NB-ARC
Taestivum_TRIAE_CS42_U_TGACv1_644387_AA2139180.1	dc985c1e24aa3f2f127c7785cd07c823	1456	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1181	1204	-	T	31-05-2017	IPR017441	Protein kinase, ATP binding site
Taestivum_TRIAE_CS42_U_TGACv1_644387_AA2139180.1	dc985c1e24aa3f2f127c7785cd07c823	1456	SUPERFAMILY	SSF56112		1166	1437	1.89E-75	T	31-05-2017	IPR011009	Protein kinase-like domain
Taestivum_TRIAE_CS42_U_TGACv1_644387_AA2139180.1	dc985c1e24aa3f2f127c7785cd07c823	1456	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1293	1305	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Taestivum_TRIAE_CS42_U_TGACv1_644387_AA2139180.1	dc985c1e24aa3f2f127c7785cd07c823	1456	SUPERFAMILY	SSF52058		486	862	1.02E-15	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
